day,S,H,Flr,W,Pi,V,breach,depth,K_L,K_S1,T_L_rem,T_S1_rem,tS,tL,roll_count,breach_days,depth_sum,event
1,135.6220530854422,135.6220530854422,106.82400000000001,-7.679499999999983,4.450575931661694,132.3931290171039,0,0.0,153.55949999999999,53.412000000000006,33,1013,1,1,0,0,0.0,
2,160.22601899821547,160.22601899821547,106.82400000000001,-7.679499999999983,-0.7335037582058135,151.81301524000966,0,0.0,153.55949999999999,53.412000000000006,32,1012,2,2,0,0,0.0,
3,159.67182283804743,160.22601899821547,106.82400000000001,-7.679499999999983,-0.9469781662105348,151.04534467183692,0,0.0,153.55949999999999,53.412000000000006,31,1011,3,3,0,0,0.0,
4,159.09040031560048,160.22601899821547,106.82400000000001,-7.679499999999983,-1.1587547828435643,150.2521455327569,0,0.0,153.55949999999999,53.412000000000006,30,1010,4,4,0,0,0.0,
5,161.38051417080263,161.38051417080263,106.82400000000001,-7.679499999999983,-1.393758190241826,152.3072559805608,0,0.0,153.55949999999999,53.412000000000006,29,1009,5,5,0,0,0.0,
6,175.65547987949466,175.65547987949466,106.82400000000001,-7.679499999999983,-5.687950998119901,162.28802888137477,0,0.0,153.55949999999999,53.412000000000006,28,1008,6,6,0,0,0.0,
7,181.43805169709375,181.43805169709375,106.82400000000001,-7.679499999999983,-7.569456419418012,166.18909527767576,0,0.0,153.55949999999999,53.412000000000006,27,1007,7,7,0,0,0.0,
8,202.27954835848976,202.27954835848976,106.82400000000001,-7.679499999999983,-10.854237300765936,183.74581105772384,0,0.0,153.55949999999999,53.412000000000006,26,1006,8,8,0,0,0.0,
9,203.25430625044015,203.25430625044015,106.82400000000001,-7.679499999999983,-11.042617009621399,184.53218924081875,0,0.0,153.55949999999999,53.412000000000006,25,1005,9,9,0,0,0.0,
10,198.56946403071854,203.25430625044015,106.82400000000001,-7.679499999999983,-10.921032094012638,179.9689319367059,0,0.0,153.55949999999999,53.412000000000006,24,1004,10,10,0,0,0.0,
11,201.82104796725307,203.25430625044015,106.82400000000001,-7.679499999999983,-11.234979552006575,182.9065684152465,0,0.0,153.55949999999999,53.412000000000006,23,1003,11,11,0,0,0.0,
12,200.38813804069224,203.25430625044015,106.82400000000001,-7.679499999999983,-11.289368044100613,181.41926999659165,0,0.0,153.55949999999999,53.412000000000006,22,1002,12,12,0,0,0.0,
13,202.69769426953528,203.25430625044015,106.82400000000001,-7.679499999999983,-11.555184644597992,183.46300962493729,0,0.0,153.55949999999999,53.412000000000006,21,1001,13,13,0,0,0.0,
14,204.226784799269,204.226784799269,106.82400000000001,-7.679499999999983,-11.579875807765234,184.9674089915038,0,0.0,153.55949999999999,53.412000000000006,20,1000,14,14,0,0,0.0,
15,217.97301383240426,217.97301383240426,106.82400000000001,-7.679499999999983,-11.103049221548337,199.19046461085594,0,0.0,153.55949999999999,53.412000000000006,19,999,15,15,0,0,0.0,
16,217.20503222701012,217.97301383240426,106.82400000000001,-7.679499999999983,-11.091164589099176,198.43436763791095,0,0.0,153.55949999999999,53.412000000000006,18,998,16,16,0,0,0.0,
17,218.68826787714553,218.68826787714553,106.82400000000001,-7.679499999999983,-11.48951041615615,199.5192574609894,0,0.0,153.55949999999999,53.412000000000006,17,997,17,17,0,0,0.0,
18,209.08758234848503,218.68826787714553,106.82400000000001,-7.679499999999983,-11.060164045826928,190.34791830265812,0,0.0,153.55949999999999,53.412000000000006,16,996,18,18,0,0,0.0,
19,206.53996802727815,218.68826787714553,106.82400000000001,-7.679499999999983,-12.004125656262277,186.85634237101587,0,0.0,153.55949999999999,53.412000000000006,15,995,19,19,0,0,0.0,
20,212.82813726544907,218.68826787714553,106.82400000000001,-40.09410739420593,19.03322033491553,191.76725020615868,0,0.0,244.7523578552664,53.412000000000006,34,994,20,0,1,0,0.0,ROLL_L
21,194.43442789189208,218.68826787714553,106.82400000000001,-40.09410739420593,36.153895618416286,190.49421611610245,0,0.0,244.7523578552664,53.412000000000006,33,993,21,1,1,0,0.0,
22,206.52713781697878,218.68826787714553,106.82400000000001,-40.09410739420593,27.20438161388777,193.6374120366606,0,0.0,244.7523578552664,53.412000000000006,32,992,22,2,1,0,0.0,
23,223.85508422313092,223.85508422313092,106.82400000000001,-40.09410739420593,17.527437503258188,201.28841433218318,0,0.0,244.7523578552664,53.412000000000006,31,991,23,3,1,0,0.0,
24,226.3460110680631,226.3460110680631,106.82400000000001,-40.09410739420593,14.324522987104038,200.5764266609612,0,0.0,244.7523578552664,53.412000000000006,30,990,24,4,1,0,0.0,
25,239.62962602924202,239.62962602924202,106.82400000000001,-40.09410739420593,8.694845893612749,208.23036452864883,0,0.0,244.7523578552664,53.412000000000006,29,989,25,5,1,0,0.0,
26,228.14059843573642,239.62962602924202,106.82400000000001,-40.09410739420593,11.764479725906961,199.81097076743745,0,0.0,244.7523578552664,53.412000000000006,28,988,26,6,1,0,0.0,
27,220.24918463536378,239.62962602924202,106.82400000000001,-40.09410739420593,16.020260112150147,196.17533735330798,0,0.0,244.7523578552664,53.412000000000006,27,987,27,7,1,0,0.0,
28,214.69263292282056,239.62962602924202,106.82400000000001,-40.09410739420593,21.057536872405187,195.65606240101982,0,0.0,244.7523578552664,53.412000000000006,26,986,28,8,1,0,0.0,
29,220.72934927927585,239.62962602924202,106.82400000000001,-40.09410739420593,15.479311606898314,196.11455349196822,0,0.0,244.7523578552664,53.412000000000006,25,985,29,9,1,0,0.0,
30,230.93334725624845,239.62962602924202,106.82400000000001,-40.09410739420593,10.58099806232919,201.42023792437172,0,0.0,244.7523578552664,53.412000000000006,24,984,30,10,1,0,0.0,
31,223.27169902852518,239.62962602924202,106.82400000000001,-40.09410739420593,15.113412736277535,198.29100437059677,0,0.0,244.7523578552664,53.412000000000006,23,983,31,11,1,0,0.0,
32,247.88827411256054,247.88827411256054,106.82400000000001,-40.09410739420593,2.7447872345102464,210.53895395286486,0,0.0,244.7523578552664,53.412000000000006,22,982,32,12,1,0,0.0,
33,237.1767115246333,247.88827411256054,106.82400000000001,-40.09410739420593,4.650600299467426,201.73320442989478,0,0.0,244.7523578552664,53.412000000000006,21,981,33,13,1,0,0.0,
34,263.2492219699046,263.2492219699046,106.82400000000001,-40.09410739420593,-4.063129024185939,219.09198555151275,0,0.0,244.7523578552664,53.412000000000006,20,980,34,14,1,0,0.0,
35,264.1329241961903,264.1329241961903,106.82400000000001,-40.09410739420593,-4.746627804738324,219.29218899724603,0,0.0,244.7523578552664,53.412000000000006,19,979,35,15,1,0,0.0,
36,268.8059023141552,268.8059023141552,106.82400000000001,-40.09410739420593,-5.411609643670552,223.30018527627874,0,0.0,244.7523578552664,53.412000000000006,18,978,36,16,1,0,0.0,
37,280.1012545560547,280.1012545560547,106.82400000000001,-40.09410739420593,-8.799014616863019,231.20813254498574,0,0.0,244.7523578552664,53.412000000000006,17,977,37,17,1,0,0.0,
38,278.3430843377062,280.1012545560547,106.82400000000001,-40.09410739420593,-8.912668123925737,229.33630881957455,0,0.0,244.7523578552664,53.412000000000006,16,976,38,18,1,0,0.0,
39,286.36021308673577,286.36021308673577,106.82400000000001,-40.09410739420593,-11.205922967960252,235.0601827245696,0,0.0,244.7523578552664,53.412000000000006,15,975,39,19,1,0,0.0,
40,291.4376661346162,291.4376661346162,106.82400000000001,-81.16713356078014,27.005242639153774,237.27577521298986,0,0.0,335.1533160548086,53.412000000000006,34,974,40,0,2,0,0.0,ROLL_L
41,292.3024581983187,292.3024581983187,106.82400000000001,-81.16713356078014,26.040269605008717,237.17559424254725,0,0.0,335.1533160548086,53.412000000000006,33,973,41,1,2,0,0.0,
42,303.5956829606068,303.5956829606068,106.82400000000001,-81.16713356078014,25.339865725912887,247.76841512573952,0,0.0,335.1533160548086,53.412000000000006,32,972,42,2,2,0,0.0,
43,300.22427308269124,303.5956829606068,106.82400000000001,-81.16713356078014,24.820089379203772,243.87722890111488,0,0.0,335.1533160548086,53.412000000000006,31,971,43,3,2,0,0.0,
44,300.754300994062,303.5956829606068,106.82400000000001,-81.16713356078014,24.231288885544238,243.81845631882612,0,0.0,335.1533160548086,53.412000000000006,30,970,44,4,2,0,0.0,
45,292.40229679496264,303.5956829606068,106.82400000000001,-81.16713356078014,27.865890698837138,239.10105393301964,0,0.0,335.1533160548086,53.412000000000006,29,969,45,5,2,0,0.0,
46,273.40599698684326,303.5956829606068,106.82400000000001,-81.16713356078014,45.42764577772829,237.6665092037914,0,0.0,335.1533160548086,53.412000000000006,28,968,46,6,2,0,0.0,
47,264.5177640831319,303.5956829606068,106.82400000000001,-81.16713356078014,56.15055887476158,239.50118939711334,0,0.0,335.1533160548086,53.412000000000006,27,967,47,7,2,0,0.0,
48,266.3642109202787,303.5956829606068,106.82400000000001,-81.16713356078014,52.74661526972636,237.94369262922493,0,0.0,335.1533160548086,53.412000000000006,26,966,48,8,2,0,0.0,
49,252.89630364727122,303.5956829606068,106.82400000000001,-81.16713356078014,66.95771041978576,238.68688050627685,0,0.0,335.1533160548086,53.412000000000006,25,965,49,9,2,0,0.0,
50,261.5117469783925,303.5956829606068,106.82400000000001,-81.16713356078014,58.706564984993186,239.05117840260556,0,0.0,335.1533160548086,53.412000000000006,24,964,50,10,2,0,0.0,
51,265.49664342351855,303.5956829606068,106.82400000000001,-81.16713356078014,53.452419798827734,237.78192966156615,0,0.0,335.1533160548086,53.412000000000006,23,963,51,11,2,0,0.0,
52,322.62909175134246,322.62909175134246,106.82400000000001,-81.16713356078014,8.075708312391622,249.53766650295393,0,0.0,335.1533160548086,53.412000000000006,22,962,52,12,2,0,0.0,
53,327.54528972588474,327.54528972588474,106.82400000000001,-81.16713356078014,7.4493061717522195,253.82746233685683,0,0.0,335.1533160548086,53.412000000000006,21,961,53,13,2,0,0.0,
54,411.82380362746903,411.82380362746903,106.82400000000001,-81.16713356078014,-16.70547516967548,313.9511948970134,0,0.0,335.1533160548086,53.412000000000006,20,960,54,14,2,0,0.0,
55,436.07468783422195,436.07468783422195,106.82400000000001,-81.16713356078014,-19.93000526602946,334.97754900741234,0,0.0,335.1533160548086,53.412000000000006,19,959,55,15,2,0,0.0,
56,398.3868558762555,436.07468783422195,106.82400000000001,-81.16713356078014,-15.242410288129674,301.97731202734565,0,0.0,335.1533160548086,53.412000000000006,18,958,56,16,2,0,0.0,
57,397.9357952221149,436.07468783422195,106.82400000000001,-81.16713356078014,-15.779913879317244,300.9887477820175,0,0.0,335.1533160548086,53.412000000000006,17,957,57,17,2,0,0.0,
58,388.7859075461641,436.07468783422195,106.82400000000001,-81.16713356078014,-13.787864367547032,293.8309096178369,0,0.0,335.1533160548086,53.412000000000006,16,956,58,18,2,0,0.0,
