rank,alpha_L,alpha_S1,T_L,T_S1,base_q1,beta,d_min_short,d_min_long,eta_pct,P_success,E_W,CVaR_W,P_W_positive,E_breach_depth,n_rolls,CVaR_20_improvement,E_drag,score
1,1.15,0.5,34,69,0,0.25,60,28,-0.2,0.958,455.3295,-555.5817,0.906,25.6832,140.0,211.7998,21.9327,189.867
2,1.15,0.45,34,314,0,0.0,42,28,-0.2,0.9615,455.3295,-555.5817,0.906,25.4723,85.0,211.7998,21.9327,189.867
3,1.15,0.45,34,650,1,0.5,90,28,-0.1,0.9075,467.4295,-543.4817,0.913,33.2426,84.0,209.0202,21.5559,187.4643
4,1.15,0.45,34,650,1,0.0,28,28,-0.1,0.9275,467.4295,-543.4817,0.913,34.1976,84.0,209.0202,21.5559,187.4643
5,1.1,0.55,559,832,2,0.0,28,14,-0.15,0.2845,-18.3,-18.3,0.0,31.8428,0.0,5.6353,23.9473,-18.312
6,1.1,0.55,559,832,2,0.0,60,14,-0.2,0.2845,-18.3,-18.3,0.0,31.8428,0.0,5.6353,23.9473,-18.312
7,1.1,0.55,559,832,2,0.0,35,28,-0.2,0.2845,-18.3,-18.3,0.0,31.8428,0.0,5.6353,23.9473,-18.312
8,1.05,0.55,650,832,2,0.0,28,90,-0.2,0.2445,-19.0,-19.0,0.0,34.7403,0.0,1.3941,21.2833,-19.8891
9,1.25,0.45,223,467,2,0.25,90,42,-0.2,0.4805,-222.7136,-1401.5061,0.2465,22.7772,3.84,66.4024,131.0252,-64.6227
10,1.25,0.45,223,832,2,0.25,42,42,-0.15,0.48,-282.9221,-1706.6255,0.2595,19.0126,2.84,78.4323,155.4693,-77.037
11,1.25,0.45,223,832,2,0.25,35,42,-0.15,0.48,-282.9221,-1706.6255,0.2595,19.0126,2.84,78.4323,155.4693,-77.037
12,1.05,0.55,314,832,2,0.0,28,60,-0.1,0.296,-105.0593,-432.1692,0.1405,29.9017,1.34,20.4092,101.058,-80.6487
13,1.05,0.55,314,832,2,0.0,35,60,-0.1,0.296,-105.0593,-432.1692,0.1405,29.9017,1.34,20.4092,101.058,-80.6487
14,1.05,0.45,167,467,2,0.0,42,14,-0.1,0.3955,-197.026,-1017.637,0.173,24.7453,5.05,17.7795,175.1074,-157.3279
15,1.15,0.5,132,314,2,0.5,42,42,-0.15,0.102,-329.4137,-1948.358,0.244,41.9575,7.26,40.4388,219.2673,-178.8286
