rank,alpha_L,alpha_S1,T_L,T_S1,base_q1,beta,d_min_short,d_min_long,eta_pct,P_success,E_W,CVaR_W,P_W_positive,E_breach_depth,n_rolls,CVaR_20_improvement,E_drag,score
1,1.0,0.6,103,650,1,0.25,28,14,-0.15,0.172,-481.0079,-2932.069,0.1425,37.9972,7.57,12.6847,378.6203,-365.9356
2,1.0,0.6,103,650,1,0.25,60,14,-0.1,0.172,-481.0079,-2932.069,0.1425,37.9972,7.57,12.6847,378.6203,-365.9356
3,1.0,0.6,103,650,1,0.25,21,14,-0.1,0.172,-481.0079,-2932.069,0.1425,37.9972,7.57,12.6847,378.6203,-365.9356
4,1.0,0.6,103,650,1,0.25,14,14,-0.15,0.172,-481.0079,-2932.069,0.1425,37.9972,7.57,12.6847,378.6203,-365.9356
5,1.0,0.6,103,650,1,0.25,21,14,-0.05,0.172,-481.0079,-2932.069,0.1425,37.9972,7.57,12.6847,378.6203,-365.9356
6,1.0,0.6,103,650,1,0.5,14,42,-0.05,0.021,-546.6351,-3483.2904,0.165,63.5013,8.9,15.9282,404.6753,-388.7471
7,1.0,0.6,103,650,1,0.5,14,42,-0.15,0.021,-546.6351,-3483.2904,0.165,63.5013,8.9,15.9282,404.6753,-388.7471
8,1.0,0.6,103,650,1,0.5,42,42,-0.1,0.021,-546.6351,-3483.2904,0.165,63.5013,8.9,15.9282,404.6753,-388.7471
9,1.05,0.6,103,650,1,0.25,28,42,-0.1,0.1825,-581.8125,-3720.2353,0.1715,35.7225,8.34,17.1496,432.7318,-415.5821
10,1.05,0.6,103,650,1,0.25,28,42,-0.05,0.1825,-581.8125,-3720.2353,0.1715,35.7225,8.34,17.1496,432.7318,-415.5821
11,1.05,0.6,103,650,1,0.25,60,42,-0.15,0.1825,-581.8125,-3720.2353,0.1715,35.7225,8.34,17.1496,432.7318,-415.5821
12,1.05,0.6,103,650,1,0.75,35,35,-0.1,0.0,-655.1096,-4131.309,0.162,114.5138,9.3,26.0972,456.956,-430.8588
