path_idx,W_final,improvement,sl_improvement
0,554.9821,772.9575,-672.0023
1,152.8508,258.0845,-89.2679
2,15.1086,695.4939,-596.731
3,5164.5157,7027.84,0.0
4,462.3978,545.9057,0.0
5,889.412,900.7598,0.0
6,452.196,486.0605,-61.7345
7,497.1649,610.1913,0.0
8,277.9368,316.2375,-153.2143
9,349.7474,389.4368,-29.5478
10,460.4288,502.3109,-81.2122
11,667.3835,817.3095,-261.6585
12,337.5223,433.2311,-326.8678
13,540.5973,598.249,-163.4633
14,185.657,653.6544,-252.0231
15,7.1503,587.8388,0.0
16,455.5775,794.167,0.0
17,319.2324,342.8883,-126.9783
18,171.8741,251.5042,-25.1763
19,1014.3899,1278.4457,0.0
20,469.4005,606.6757,0.0
21,376.383,359.6807,6.3741
22,63.3637,142.0348,-329.0952
23,322.1172,374.1042,-79.9937
24,-2422.191,-993.6903,0.0
25,84.5147,111.3843,-110.7146
26,178.1282,407.8378,0.0
27,467.5877,496.0,-18.4558
28,994.5986,1072.8493,-152.7846
29,158.8582,218.0943,-128.9571
30,720.985,825.3326,-94.851
31,165.6012,221.796,-68.902
32,80.4153,166.3827,-222.1436
33,1177.9267,1324.5229,0.0
34,-44.3097,8.471,-33.1303
35,411.6753,440.1104,-17.5908
36,1696.3061,1781.9727,-45.2272
37,684.9379,731.6471,-70.8708
38,287.6666,467.8637,-488.5512
39,13.8085,66.4793,-209.6328
40,271.5527,471.7713,-241.5278
41,542.0926,815.7115,0.0
42,-143.132,398.1005,-277.5052
43,235.6626,452.928,0.0
44,111.1518,142.9786,-117.9984
45,413.1481,571.7118,-452.6844
46,982.4588,1050.0267,0.0
47,51.883,139.074,-118.7097
48,3300.5825,3514.2791,-298.6353
49,122.6794,132.1035,-46.055
50,136.865,221.6622,-158.567
51,293.4844,311.0297,-54.9482
52,-244.4303,-46.2003,-812.7465
53,1719.6068,2418.5935,0.0
54,426.9873,397.3302,29.4391
55,-7.0167,81.2945,-301.6702
56,1022.1424,1400.9384,0.0
57,1798.6771,2124.8532,-540.2781
58,179.8668,204.6365,-19.7907
59,214.3995,218.087,-18.9176
60,-22.1095,279.2207,-510.0699
61,323.8167,579.5173,0.0
62,208.3837,238.656,-153.7545
63,694.6833,773.3242,-24.6764
64,337.0838,416.0912,0.0
65,913.511,954.6399,0.0
66,470.5968,514.5463,-25.0959
67,291.1309,294.8446,-41.4378
68,-2587.9006,-840.6839,0.0
69,52.526,-5.9962,41.8416
70,-121.0381,327.1378,0.0
71,572.5874,626.6296,-10.5444
72,1559.7703,2452.0753,0.0
73,555.5564,579.6763,0.0
74,1389.2358,1497.5112,-61.5928
75,-79.3422,121.0431,-454.5575
76,597.5906,742.1964,-250.1171
77,279.4019,304.5378,-92.1654
78,93.3172,144.4836,-256.9369
79,705.1898,782.8666,0.0
80,273.5128,307.3473,-24.9549
81,209.9405,644.4762,-908.9926
82,610.1811,808.096,-487.9154
83,545.9876,650.7707,-215.6702
84,93.3415,98.8178,-31.7103
85,54.7309,599.1927,-729.3253
86,1290.9479,1383.6895,0.0
87,689.5257,692.4326,0.1473
88,210.9651,246.7776,-126.8668
89,-218.0311,177.1226,-771.0584
90,442.0018,465.8291,0.0
91,52.8468,106.0886,-105.9297
92,16.8897,53.348,-135.0299
93,431.3665,598.6403,0.0
94,1519.0379,1792.4027,0.0
95,227.7028,203.5818,26.3719
96,1295.043,1443.1316,0.0
97,894.3214,1220.132,-736.9629
98,242.9417,638.2872,0.0
99,387.0679,412.6457,-33.8303
100,1809.239,1917.5085,0.0
101,652.9256,683.4667,0.0
102,213.9174,454.5579,0.0
103,167.3123,179.5405,-99.5782
104,642.4446,788.1279,-203.7134
105,151.1382,359.309,-677.6948
106,691.5443,873.5569,0.0
107,948.8472,988.0666,0.0
108,-466.6,-81.0987,0.0
109,435.1534,625.5271,0.0
110,918.5602,963.0766,0.0
111,163.257,174.2968,-70.7883
112,20.6573,89.3505,-313.6144
113,1237.374,1310.6305,0.0
114,989.3293,1032.4469,0.0
115,1006.5505,1149.622,0.0
116,-133.7906,181.1391,0.0
117,6365.2587,7256.381,0.0
118,149.1314,136.2312,2.2933
119,681.829,814.5837,-24.9287
120,360.6693,374.5265,-13.1591
121,285.9259,344.3058,-105.5443
122,312.9856,489.2051,-101.4154
123,511.8669,533.7979,0.0
124,15.3938,133.0207,-154.3604
125,254.454,252.696,-25.0369
126,307.4211,353.8216,-201.9234
127,35.6005,37.4657,10.0653
128,143.6954,274.0532,-293.0428
129,205.5664,169.5356,0.3095
130,128.0643,250.7835,-459.1412
131,1033.9982,1063.8694,0.0
132,160.2763,386.9825,-645.7254
133,2840.4372,3412.8475,0.0
134,108.2122,80.1128,-8.2307
135,77.4424,213.8486,-283.3626
136,1241.391,1309.6914,-144.5446
137,205.8465,216.957,-67.0578
138,102.9345,143.1892,-192.8995
139,1585.5423,1799.1977,0.0
140,463.9298,555.7462,0.0
141,195.5158,204.9373,-61.5206
142,267.0315,295.5969,-120.0234
143,1106.5223,1387.0143,-575.9917
144,485.9806,482.3749,8.8372
145,466.3093,1057.4584,0.0
146,-49.7615,323.7813,-207.7691
147,244.5639,317.48,-49.8642
148,319.0906,326.5423,-66.266
149,509.2379,1006.811,-755.5761
150,-51.71,56.0101,-108.2592
151,91.0925,111.8862,-68.3126
152,-434.7865,-104.59,-761.3241
153,105.5705,270.8968,-553.7628
154,701.7006,799.271,0.0
155,1515.5483,1657.5918,0.0
156,1884.6625,2119.6306,-221.863
157,201.7189,309.1207,-225.8492
158,51.9021,43.2298,15.9108
159,917.9233,1339.16,0.0
160,110.9864,98.2436,-2.077
161,368.4942,414.0674,0.0
162,6.3187,75.9983,-144.538
163,-1822.7359,-520.9128,-1328.5627
164,1759.1004,2029.7433,-477.1755
165,551.5561,681.8237,-432.2519
166,729.9486,914.9873,-224.0107
167,1093.3081,1188.6444,0.0
168,454.6408,465.6963,-53.6055
169,751.7945,994.5778,0.0
170,402.8864,380.3352,42.1801
171,463.124,534.993,0.0
172,433.3738,530.0377,-28.4452
173,807.6978,959.1546,0.0
174,467.3417,553.2342,-35.0883
175,591.8708,846.8899,-240.7956
176,419.7942,503.1811,-150.5474
177,576.3594,768.413,-172.6153
178,48.3734,55.6789,-49.2633
179,1592.8455,1740.3407,-44.4515
180,234.5333,247.5533,-73.0261
181,164.3196,247.5898,-344.9211
182,411.0384,420.4226,-43.5356
183,426.0954,670.2402,-338.8238
184,1387.4803,1486.8856,0.0
185,311.1416,320.6106,-64.412
186,137.5201,150.9511,-71.8398
187,687.6517,699.1392,0.0
188,289.9418,314.1096,-73.1285
189,356.5733,356.6063,-29.1775
190,346.1291,543.7738,-316.5667
191,1535.6489,1577.0448,-36.1466
192,-40.0158,523.9882,0.0
193,342.8872,368.1401,0.0
194,68.0027,469.5611,0.0
195,186.5395,407.6854,-567.9277
196,317.7825,390.5956,0.0
197,1280.0883,1318.1771,0.0
198,462.8512,503.3588,-77.728
199,1439.1901,1836.0907,0.0
200,2323.113,2435.0512,-139.5818
201,947.9355,1139.374,-183.4431
202,3782.8076,4522.3489,0.0
203,225.3089,258.8006,-176.781
204,562.2782,630.1126,0.0
205,785.2325,963.5246,0.0
206,613.3689,1022.7821,0.0
207,1568.8774,1836.6933,0.0
208,177.934,220.9534,-86.8336
209,-102.9768,611.4783,0.0
210,173.482,201.5096,-124.5158
211,1314.6067,1541.879,-169.1779
212,363.1022,743.123,0.0
213,152.8896,266.4267,-111.5909
214,-4944.0566,-2438.3274,-693.7953
215,1209.2472,1248.7014,0.0
216,359.1128,458.0219,0.0
217,573.6858,586.3961,-29.8016
218,727.7316,787.7429,-186.8399
219,-159.392,59.9812,-429.5724
220,2094.909,2668.3778,0.0
221,198.9056,220.5805,-87.1514
222,-22.105,262.4479,-391.0414
223,633.2025,656.0657,-80.666
224,1592.3831,1801.7492,0.0
225,-72.1579,154.7809,0.0
226,31.0395,255.5453,0.0
227,267.1197,262.591,-24.3336
228,2373.7819,2870.1979,0.0
229,503.041,634.2356,-331.9299
230,559.601,782.6941,0.0
231,232.1113,259.6946,-92.3706
232,285.0326,359.668,-168.6278
233,105.9017,127.0043,-61.7761
234,2963.7374,3484.8852,-903.3818
235,200.1725,188.9353,5.6572
236,119.0892,130.2842,-29.5259
237,119.7379,117.9791,-3.5739
238,318.377,325.9012,-82.7165
239,1546.0788,1677.6265,0.0
240,854.7442,1004.9955,-59.4934
241,99.6033,276.8916,-168.9352
242,722.5021,803.2773,0.0
243,384.1544,421.3706,-50.5645
244,-1653.0257,-726.2607,0.0
245,45.306,125.0122,-67.7737
246,431.8907,574.5858,-131.0085
247,896.7531,1763.4658,0.0
248,886.3093,1151.213,-247.5445
249,335.7841,350.4024,-59.8602
250,211.6001,661.2058,0.0
251,194.7691,207.4926,-44.1696
252,581.991,631.5918,-122.7557
253,688.9974,815.9515,-170.7795
254,202.3671,317.8677,0.0
255,184.565,213.7402,-108.7989
256,172.1884,179.3502,-82.0356
257,49.6492,91.7288,-147.524
258,185.1891,214.5416,-107.8356
259,325.9496,399.5635,-37.3373
260,1886.0434,2164.4366,-698.472
261,373.2577,428.5817,0.0
262,568.8086,692.5416,0.0
263,-525.3398,68.7999,0.0
264,2295.3997,2710.2246,0.0
265,713.1788,693.0468,27.9923
266,-120.9975,51.4381,-259.3898
267,710.0277,1237.8824,0.0
268,194.7115,204.3223,-56.3745
269,837.7366,976.3293,-24.9398
270,-558.5298,-93.5306,0.0
271,838.5872,895.9523,0.0
272,132.7874,163.225,-50.1204
273,1210.6508,1316.0137,0.0
274,6019.2509,6454.3966,0.0
275,3282.5514,3722.6402,-950.9699
276,450.4099,467.9776,0.0
277,407.5219,499.5405,0.0
278,155.8905,129.8341,14.6148
279,99.1337,175.9546,-266.5365
280,201.6508,293.254,-56.4425
281,78.8567,-26.4848,87.9407
282,422.0489,446.5059,-25.6805
283,337.2404,442.1123,-143.4635
284,1791.0765,2118.2428,0.0
285,12415.6079,14155.038,0.0
286,274.4913,322.8018,-190.1768
287,-241.8993,381.6264,-995.0572
288,-622.0506,-258.2696,-889.2053
289,678.9211,714.5569,-92.679
290,306.978,333.2297,-127.7255
291,1082.558,1261.1459,0.0
292,779.4405,766.7535,0.7595
293,763.8327,797.568,0.0
294,-107.29,92.4387,-254.5697
295,766.2185,930.1169,0.0
296,2217.9112,2406.105,0.0
297,195.5753,238.4787,-188.247
298,347.3389,423.3026,0.0
299,-463.9347,530.3388,0.0
300,1328.4757,1358.3876,0.0
301,966.9261,1117.066,0.0
302,146.2096,193.8135,-128.4025
303,298.6097,372.5264,-177.8769
304,653.5329,672.0766,-60.0253
305,157.6196,244.9303,-83.4154
306,28.989,-58.7434,65.6035
307,247.7747,281.8515,-97.487
308,637.2697,965.713,0.0
309,226.171,278.3343,-128.8197
310,58.5882,792.0597,-776.5504
311,181.9022,207.7637,-130.6327
312,389.5404,345.7873,69.0144
313,157.7265,166.6559,-69.4371
314,216.6163,239.9701,-91.6734
315,914.304,942.8728,-16.2406
316,382.0646,760.046,0.0
317,61.0506,180.7526,-353.0241
318,1282.8665,1417.1406,0.0
319,307.1183,301.6691,-6.5233
320,406.4173,514.2869,-61.8889
321,116.9357,44.9106,63.5919
322,247.2367,319.3126,0.0
323,568.0914,593.4151,-26.7082
324,761.6555,860.5763,0.0
325,311.7171,398.731,0.0
326,474.4148,533.3257,0.0
327,700.777,766.2211,0.0
328,223.145,210.3722,-10.7461
329,247.9496,206.4841,17.0806
330,279.436,309.6595,0.0
331,370.7834,293.7559,83.2872
332,290.7236,371.5594,-91.3084
333,165.1878,221.5396,-226.8145
334,430.3167,473.263,-62.262
335,366.705,396.5532,-32.7452
336,674.3598,722.9604,-54.5341
337,645.1936,669.0514,-36.6348
338,1108.607,1211.2187,0.0
339,554.5836,571.2988,-19.8215
340,505.6271,671.7879,-195.0498
341,2636.9479,2851.226,0.0
342,504.414,568.2607,-51.036
343,3838.0218,4699.4381,0.0
344,1446.1692,1602.479,0.0
345,385.4671,433.6238,-85.3238
346,-7.9097,33.4534,-113.8673
347,112.3879,139.1779,-122.7704
348,137.5057,163.4409,-120.2183
349,-587.3307,-164.7378,0.0
350,308.6036,303.2942,-25.7316
351,265.9195,283.3934,-96.6407
352,-265.2499,52.0475,0.0
353,163.0238,139.1602,37.8628
354,395.5395,547.4603,0.0
355,292.3623,268.1859,19.7132
356,2482.6515,2947.1072,0.0
357,1159.2116,1221.5747,0.0
358,974.2068,1155.5695,0.0
359,287.398,298.5977,-58.7744
360,208.4402,229.8932,-94.7391
361,265.7611,313.3774,-123.7697
362,16.8232,90.4372,-352.8179
363,-184.6773,194.5913,-546.9468
364,290.8366,323.4631,-49.8626
365,109.5081,81.4858,-4.5337
366,321.6229,303.2844,16.7919
367,225.3319,921.0132,0.0
