path_idx,W_final,improvement,sl_improvement
0,491.0066,661.8598,-513.1943
1,146.0827,229.5417,-86.0141
2,124.0672,657.3662,-421.7875
3,5046.7176,6507.2267,0.0
4,398.1403,464.4412,-87.8904
5,771.7153,785.8373,-3.3412
6,372.924,401.4434,-28.1611
7,434.8701,524.5094,0.0
8,226.0018,257.864,-110.3548
9,286.8997,319.6932,-22.6721
10,380.2354,414.8405,-79.2662
11,572.8278,690.3426,-201.3389
12,309.0014,384.9064,-205.7076
13,471.4134,518.2078,-166.4519
14,226.9298,593.7551,-264.3894
15,96.9368,552.0915,0.0
16,453.3414,718.7343,0.0
17,260.0712,281.3617,-70.7533
18,154.7752,218.3779,-31.2286
19,893.1814,1100.1533,0.0
20,430.4649,538.0639,0.0
21,308.8293,315.397,31.7027
22,53.4216,116.357,-155.1634
23,291.7874,333.9891,-98.4871
24,-1721.2152,-601.529,0.0
25,58.6414,82.3746,-78.7577
26,178.0332,358.084,0.0
27,384.9401,409.7094,-12.1393
28,852.6742,915.3171,-78.9473
29,119.7564,167.5659,-143.3365
30,596.6744,679.4308,-187.6083
31,142.4789,188.0966,-154.4582
32,83.9946,152.1739,-168.9061
33,1003.7995,1118.7043,0.0
34,-45.7771,-2.9311,-11.0771
35,338.6916,363.4807,-13.5965
36,1379.6343,1447.5749,-63.6562
37,584.226,622.4571,-64.322
38,238.0389,379.2808,-472.7753
39,5.1096,47.8665,-111.1456
40,292.584,449.5192,-277.0601
41,505.6154,720.0831,0.0
42,-0.4506,423.7778,-430.6624
43,243.3632,413.66,0.0
44,74.45,101.6338,-86.3067
45,347.8723,472.1576,-287.6603
46,875.2462,929.3736,-72.6128
47,35.96,105.1097,-135.5593
48,2804.4294,2971.9289,-231.6704
49,90.1267,103.1453,-28.4962
50,117.4529,184.7042,-145.5671
51,253.1366,270.5325,-80.7052
52,-173.3369,-17.9605,-527.8332
53,1536.4871,2084.3663,0.0
54,348.2324,353.5231,68.973
55,-1.3141,68.724,-221.6255
56,983.28,1280.1875,0.0
57,1563.6681,1819.3311,-327.0103
58,137.7405,160.0334,-79.8523
59,177.073,187.693,0.1799
60,50.5933,286.7817,-604.1193
61,345.9548,546.3778,0.0
62,179.9908,206.3816,-99.1939
63,612.8251,675.7395,-38.7841
64,283.4403,346.6098,-8.2842
65,794.1371,828.1199,0.0
66,403.2435,439.5568,-70.2413
67,237.6354,248.331,-39.9854
68,-1876.982,-507.4801,0.0
69,26.2205,29.6053,53.6028
70,5.6676,356.9565,0.0
71,481.5549,525.425,-35.8321
72,1537.1,2236.5057,0.0
73,459.9562,481.6642,0.0
74,1224.486,1310.3574,-15.0916
75,-42.4784,114.5875,-346.6799
76,543.4009,656.7457,-270.5087
77,235.7369,258.3594,-48.7375
78,71.6854,113.2211,-147.4801
79,622.0964,684.3219,0.0
80,225.533,254.0272,-4.8838
81,231.7358,572.3332,-693.5436
82,525.7964,680.9259,-354.0985
83,475.0119,558.1136,-126.3062
84,62.2487,73.6991,1.1346
85,92.5804,519.34,-717.6417
86,1135.2676,1208.8194,0.0
87,577.4131,587.8751,8.0815
88,168.0559,198.216,-47.3735
89,-139.3313,170.3977,-731.1137
90,386.6455,408.0902,-56.4701
91,36.7103,79.9306,-110.5925
92,4.599,35.3029,-48.3983
93,409.6918,540.8042,0.0
94,1241.8147,1456.0833,0.0
95,189.6494,195.4199,31.7197
96,1092.4381,1208.5129,-53.0086
97,842.8294,1098.206,-322.786
98,278.311,588.1903,0.0
99,313.7971,336.8172,-40.8541
100,1550.604,1636.4708,0.0
101,569.8271,596.4522,0.0
102,234.4601,423.0788,0.0
103,132.6432,147.1379,-49.8655
104,556.8106,671.0,-279.8884
105,160.1973,323.3656,-595.3509
106,653.4488,796.1138,0.0
107,835.2923,867.6974,0.0
108,-334.3553,-32.192,-134.2214
109,413.2113,562.4299,0.0
110,834.5959,871.3777,0.0
111,122.9264,136.6653,-54.2444
112,12.839,67.8679,-222.7008
113,1064.8725,1123.557,0.0
114,854.995,890.621,0.0
115,872.3192,984.4614,0.0
116,-63.1089,183.739,0.0
117,5330.0379,6028.5166,0.0
118,107.875,114.9879,40.2015
119,608.2273,712.2829,-18.701
120,294.8913,310.4587,-32.4457
121,254.801,302.0619,-100.563
122,291.764,429.8882,-166.3881
123,426.2882,446.7895,-19.1367
124,35.5683,128.8562,-321.3064
125,209.3428,218.4824,-12.9296
126,261.6718,299.7264,-141.4253
127,10.844,21.2237,29.6496
128,139.2334,241.5779,-184.5478
129,159.185,163.9873,24.8899
130,111.6913,208.6181,-202.2942
131,912.2416,938.2828,0.0
132,172.1017,349.7983,-557.446
133,2627.8066,3076.4727,0.0
134,70.1188,75.4876,-2.8993
135,89.1065,196.0242,-176.094
136,1074.5857,1129.2998,-96.553
137,165.2749,179.1017,-45.6269
138,81.2262,114.4867,-70.3663
139,1375.642,1543.1093,0.0
140,422.8274,495.6454,0.0
141,150.3282,163.3431,-42.4047
142,222.3619,247.2647,-103.0789
143,939.1294,1158.9844,-390.118
144,423.9251,432.7089,22.846
145,587.7974,1051.1514,0.0
146,54.2835,347.0735,-385.138
147,212.2028,270.6146,-44.877
148,260.1876,272.3969,-36.4717
149,543.868,933.8754,-385.5674
150,-44.0088,41.4222,-213.8289
151,63.8964,83.3345,-46.1533
152,-335.0935,-76.2792,-592.4069
153,97.8504,227.4363,-200.2208
154,612.239,689.6205,0.0
155,1344.1857,1455.5221,0.0
156,1686.4875,1870.66,-171.914
157,182.9889,268.1674,-51.6743
158,24.6003,32.4152,34.4085
159,842.2552,1172.4286,0.0
160,73.3843,80.4104,10.1374
161,322.9905,360.5723,-31.7417
162,1.7447,57.5638,-104.1318
163,-1227.7444,-207.3506,-1195.1262
164,1525.3869,1737.522,-964.4158
165,478.6239,580.9044,-478.8401
166,646.1454,791.1823,-287.0629
167,954.0081,1029.6177,0.0
168,406.5123,420.2706,-23.6616
169,717.042,907.3401,0.0
170,339.9441,345.8501,39.2641
171,396.3643,453.9372,0.0
172,375.0352,451.6977,-164.41
173,771.3685,890.0832,0.0
174,419.5129,487.6328,-25.7756
175,561.8028,761.6916,-74.9461
176,385.674,451.8907,-95.774
177,567.316,717.8512,-40.6054
178,27.7233,39.693,8.5327
179,1342.4661,1458.0757,-136.7298
180,195.1476,209.7746,-42.2282
181,151.9685,218.104,-224.3997
182,357.623,370.5864,-30.9393
183,369.1991,560.5644,-508.8224
184,1159.1328,1237.9695,-32.6838
185,258.9134,271.994,-55.1659
186,100.6618,115.7505,-36.5594
187,586.4165,600.7124,-6.2898
188,232.6789,254.43,-65.6438
189,290.5213,300.1322,4.8415
190,303.6529,458.5705,-239.7307
191,1299.2917,1333.4951,-26.1864
192,29.4579,471.5351,0.0
193,288.7779,311.5056,-39.3936
194,227.1379,541.887,0.0
195,196.0833,369.4217,-631.512
196,269.2563,327.5855,-8.4011
197,1150.3351,1182.0842,0.0
198,385.7386,419.2081,-84.3618
199,1282.3801,1593.4784,0.0
200,2023.8541,2112.6304,-115.9463
201,865.899,1015.9521,-140.5463
202,3215.0902,3794.7568,0.0
203,180.684,208.8896,-132.7814
204,491.311,545.6519,0.0
205,711.9031,851.6518,0.0
206,566.0218,886.9276,0.0
207,1353.1834,1563.1027,0.0
208,139.7416,175.2865,-56.7927
209,115.294,675.2975,0.0
210,134.5848,159.0187,-127.7456
211,1216.2608,1394.4012,-129.9073
212,419.1892,717.0568,0.0
213,148.7156,238.76,-155.2666
214,-3510.0836,-1546.0451,-526.6881
215,1022.0743,1054.6733,0.0
216,332.8079,411.251,0.0
217,498.8892,513.4589,9.5184
218,590.8175,639.1236,-141.766
219,-117.5229,54.426,-522.8913
220,1931.7724,2381.2681,0.0
221,158.6448,178.9067,-81.476
222,27.5769,250.615,-373.5395
223,544.9486,565.9498,-41.8163
224,1483.9804,1648.0855,0.0
225,-35.0414,142.8376,0.0
226,80.1603,256.1323,0.0
227,214.2562,222.7986,3.3955
228,2072.4173,2461.5177,0.0
229,444.7539,547.6919,-134.5668
230,581.1716,756.0362,0.0
231,198.7564,222.8029,-68.6093
232,270.6265,330.4156,-157.1308
233,73.2684,92.9953,-55.4191
234,2620.3204,3028.806,-683.0846
235,167.1886,174.6612,15.9827
236,90.1033,104.0352,3.5806
237,84.111,93.2547,14.5925
238,261.9409,274.269,-51.7162
239,1368.6453,1471.8338,0.0
240,766.8154,884.5853,-45.5017
241,118.2994,257.2613,-120.7872
242,611.7746,676.174,0.0
243,305.8072,337.0905,-40.4883
244,-1271.1498,-544.7336,0.0
245,39.5404,103.196,-125.6795
246,393.766,505.6132,-165.6786
247,1123.7402,1803.0862,0.0
248,840.4861,1048.1227,-147.3237
249,273.1985,288.9428,-66.5796
250,355.0815,707.491,0.0
251,156.2692,170.841,-61.109
252,484.1072,524.3719,-64.7135
253,650.3006,750.231,-132.4707
254,192.3592,283.9608,-119.738
255,142.1663,167.6007,-95.8511
256,147.7837,159.6189,-41.7363
257,32.4421,67.2105,-85.0849
258,143.2861,168.8751,-126.4421
259,268.7564,327.7272,-77.1119
260,1543.7332,1761.9431,-718.6492
261,310.6067,355.5173,0.0
262,507.5182,605.1641,0.0
263,-170.1892,295.5089,0.0
264,2055.6956,2380.8434,0.0
265,607.8735,613.9655,42.0958
266,-82.7775,52.3808,-343.0217
267,709.6591,1123.4017,0.0
268,151.5505,164.827,-68.7304
269,695.468,804.0996,-104.0687
270,-366.0249,-1.5497,0.0
271,706.7586,753.3262,0.0
272,95.9429,122.4778,-75.9465
273,1085.0875,1168.649,0.0
274,5169.5793,5510.6548,0.0
